text,label
细菌性肺炎怎样治愈,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
外寒内热怎么1哈免得,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O O
s出现阴道分泌物增多为何,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
那h化验低镁血症,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
胎儿不完全臀先露怎样避开,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
阴囊瘙痒怎样监测!e,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O O
甚胃切除后吸收不良综合征解释,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
阴道持续流血不停g检测何物,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
唇炎帮助什么事,B-DISEASE I-DISEASE O O O O O
什么办贲门炎,O O O B-DISEASE I-DISEASE I-DISEASE
外阴天疱疮6增加有何,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
怎么g嘿医治旋前圆肌综合征,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
9有何查询鼻干燥,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM
感染性肋软骨炎推荐咋地做,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
生殖道肿瘤怎样!9操作,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
发热伴眼睛充血!z食用什么物,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O O O
什么不宜小儿淋巴样息肉b,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
指南咋地做小儿风湿热,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
何物在肾前性肾功能衰竭~、,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
何事注意创伤窒息综合征,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
怎么操作肾小动脉有纤维梗死,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
苦夏3何物b治好,B-DISEASE I-DISEASE O O O O O O
有何康复狼疮样综合征m,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
z知觉代谢性低钾何以,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
哈咋样医治进食后出现弥漫性腹部绞痛,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
指南何事脑膜瘤,O O O O B-DISEASE I-DISEASE I-DISEASE
何办周身出汗,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
嘿鼻前庭部发痒哪治好,O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O
膳食什么哦横结肠移位,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
母乳性黄疸差q那,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
t建议0咋样做脑血管畸形,O O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
体识青春期后无精液何以,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
怎么治癒剧痛,O O O O B-SYMPTOM I-SYMPTOM
那康复排气障碍,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
口唇疱疹了解哪,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
什么物噢7降低四肢电击感,O O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
日光性雀斑样痣补品什么事,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
帮助哪阵发性冷性血红蛋白尿f,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
、哪l建议急性视网膜色素上皮炎,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
怎么治癒宫寒,O O O O B-DISEASE I-DISEASE
甚治癒b食管憩室3,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE O
如何、办主动脉瓣狭窄合并关闭不全,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
躁郁样哪、测,B-SYMPTOM I-SYMPTOM I-SYMPTOM O O O
了解唔药物性狼疮何事,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
乳房或乳头未发育a补品哪,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
巨细胞病毒性肺炎介绍哪些,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
小儿其他沙门菌感染属于何事,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
面颊及上胸部充血化验哪s,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
嗜人T淋巴细胞Ⅰ型所致的葡萄膜炎什么物推荐ur,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O O
如何医治恐怖症唔~,O O O O B-DISEASE I-DISEASE I-DISEASE O O
什么处理老年人酒精性肝病9,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
隐球菌病哪些d治愈,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
那康复鼻窦创伤,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE
e变形杆菌肺炎告知哪e,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
何物减少肾错构瘤h,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE O
哪u缓解老年性黄斑变性唔,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
结肠破裂了解何物,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
第五日综合征是什么事,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
l玻璃体及视网膜脱离手术所致青光眼z帮助怎么做,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
咋样做嘿8妇科疾病,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE
防范耳聋那z唔,O O B-SYMPTOM I-SYMPTOM O O O
脊髓刃器伤何做,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
理解畸形性骨炎2,O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
小儿尿石症告知那,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
咋地避开鼻尖或鼻翼出现带状疱疹,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
何事解决喉息肉~,O O O O B-DISEASE I-DISEASE I-DISEASE O
h详情哪些动眼、滑车及外展神经疾病,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
如何1防范血管炎,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM
感觉腰骶部或下腰部疼痛m为何t,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
腹泻什么物痊愈,B-SYMPTOM I-SYMPTOM O O O O O
巨痕症怎样治愈r,B-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
弹响肩胛何事c解决,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
l咋地j检健忘性失语,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
晶状体蛋白过敏性青光眼改善哪,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
补品2有何产后伤食哈,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE O
；p偏头痛怎样痊愈,O O B-DISEASE I-DISEASE I-DISEASE O O O O
帮助咋地解决股骨转子下骨折,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
假临产何以检查n,B-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
甚不益目劄病,O O O B-DISEASE I-DISEASE I-DISEASE
哪代表子宫发育异常,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
怎样e缓解~早搏,O O O O O O B-SYMPTOM I-SYMPTOM
肝脏肿大1e弊处甚,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
咋地做滴状角膜,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
办有何e避免眼结膜上出现瘀点,O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
哪做垂体腺瘤,O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE
怎么办0强迫症,O O O O B-DISEASE I-DISEASE I-DISEASE
阴部溃疡哪些查,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O
咋地治愈病理性醉酒k,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O
免得b乳头溢出血性或棕色浆液性液体办p何物,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
。舌扁平苔藓指的是q有何,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
u神经瘤摄入哪噢,O B-DISEASE I-DISEASE I-DISEASE O O O O
解释卵泡囊肿4y何,O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
怎么治好1嘿老年男性乳房无痛性肿块,O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
冬季瘙痒症d解释,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
什么物属于麦胶性肠病xv,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
怎么7操作j唇厚舌大,O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
腰痛卧床加重不好何事,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
何k缓解睫毛掉落9,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O
口干舌燥什么n止痊,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
防范z骨无菌性坏死何o,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
告知结核性阴道炎什么4,O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
那适合v烂桃样血痰,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
~办何物、预防胃石形成,O O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
甚不益闭合性气胸,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
腹股沟滑动疝3了解9,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
热性嗜中性白细胞皮肤病那推荐,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
膳食什么事g先天性脑积水,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
肛门瘙痒症什么事做,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
什么治愈手部屈指肌腱损伤,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
怎么i治好突发性聋i,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE O
监测何事眶上裂综合征b,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O
心气虚提醒噢2什么,B-DISEASE I-DISEASE I-DISEASE O O O O O O
什么d办o新生儿水肿,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
x信息热汗哪些,O O O B-DISEASE I-DISEASE O O
膀胱结核建议怎么做,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
咋样u测桶状胸,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM
角膜擦伤什么物n治愈w,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O O
q抵御虚火何事,O O O B-SYMPTOM I-SYMPTOM O O
何预防头皮松垂,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
2咋地止痊9小儿神经皮肤综合征,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
如何k噢办间歇性鼻阻塞,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
纳氏囊肿哪些医治,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
u嘿角膜异物怎么止痊,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
鼻部穿通性毛囊炎归属于什么物,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
肝淀粉样变性e理解4何事,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
d肠易激综合征监测甚,O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O
何以止痊y经前综合症,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
体识无症状性菌尿为啥,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
周围神经炎减少甚p2,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
有何缓解恶心o,O O O O B-SYMPTOM I-SYMPTOM O
饮用有何尿路结石a；,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
炎症相关性青光眼包括有何0,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
甚抵御分离性身份障碍,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
q咋样做血压偏低,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
怎样治愈指甲冻伤,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
咋地缓解间歇性外斜视,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
有何b啊痊愈胸部放线菌病,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
皮肤发黄噢；咋样化验,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O O
硬脊膜膨出验证何物,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
内脏利什曼病了解!什么物,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
天花怎么a做t,B-DISEASE I-DISEASE O O O O O
咋地8预防d左腹屈曲,O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
3怎么查苔黄腻,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM
外伤性乳房脂肪坏死信息r,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
有何有害f嘿幽门肌肥大,O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
疱疹样皮炎怎样治好,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
b、膀胱癌了解,O O B-DISEASE I-DISEASE I-DISEASE O O
饮用什么结核性中耳乳突炎,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
成人全垂体功能减退何治愈,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
小儿急性播散性脑脊髓炎1了解有何,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
小儿出血性疾病帮助何以做,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
皮肤念珠菌病3增强哪些,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
